State,Sector,Indicator,Sub Indicator,desc,Value
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.2
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.1
Dadra & Nagar Haveli & Daman & Diu,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.1
Delhi,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,48.4
Delhi,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,39.7
Delhi,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,39.9
Delhi,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,22.6
Delhi,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,32.1
Delhi,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,31.9
Delhi,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Delhi,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Delhi,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Delhi,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.1
Delhi,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.5
Delhi,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.5
Goa,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.2
Goa,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.2
Goa,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.2
Goa,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,14.8
Goa,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,25
Goa,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,21.2
Goa,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1
Goa,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1
Goa,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1
Goa,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.5
Goa,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.4
Goa,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.4
Gujarat,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,2.2
Gujarat,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,8.8
Gujarat,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,5.1
Gujarat,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,1.8
Gujarat,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,18
Gujarat,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,9
Gujarat,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.1
Gujarat,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.1
Gujarat,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.1
Gujarat,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1
Gujarat,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.4
Gujarat,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.3
